scale_group,series_a,series_b,model_a,model_b,source_a,source_b,selected_a,selected_b
le_4b,qwen3,llama,Qwen3-1.7B,Llama-3.2-3B-Instruct,Qwen3-1.7B-Base,Llama-3.2-3B,Qwen3-1.7B,Llama-3.2-3B-Instruct
le_4b,qwen3,gemma2,Qwen3-1.7B,Gemma-2-2B-Instruct,Qwen3-1.7B-Base,Gemma-2-2B,Qwen3-1.7B,Gemma-2-2B-Instruct
le_4b,qwen3,gemma3,Qwen3-1.7B,Gemma-3-1B-Instruct,Qwen3-1.7B-Base,Gemma-3-1B,Qwen3-1.7B,Gemma-3-1B-Instruct
le_4b,qwen3,gemma3,Qwen3-1.7B,Gemma-3-4B-Instruct,Qwen3-1.7B-Base,Gemma-3-4B,Qwen3-1.7B,Gemma-3-4B-Instruct
le_4b,qwen3,gemma4,Qwen3-1.7B,Gemma-4-E2B-Instruct,Qwen3-1.7B-Base,Gemma-4-E2B,Qwen3-1.7B,Gemma-4-E2B-Instruct
le_4b,qwen3,gemma4,Qwen3-1.7B,Gemma-4-E4B-Instruct,Qwen3-1.7B-Base,Gemma-4-E4B,Qwen3-1.7B,Gemma-4-E4B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-1.7B,Qwen3.5-0.8B-Instruct,Qwen3-1.7B-Base,Qwen3.5-0.8B-Base,Qwen3-1.7B,Qwen3.5-0.8B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-1.7B,Qwen3.5-2B-Instruct,Qwen3-1.7B-Base,Qwen3.5-2B-Base,Qwen3-1.7B,Qwen3.5-2B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-1.7B,Qwen3.5-4B-Instruct,Qwen3-1.7B-Base,Qwen3.5-4B-Base,Qwen3-1.7B,Qwen3.5-4B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-4B,Qwen2.5-0.5B-Instruct,Qwen3-4B-Base,Qwen2.5-0.5B,Qwen3-4B,Qwen2.5-0.5B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-4B,Qwen2.5-1.5B-Instruct,Qwen3-4B-Base,Qwen2.5-1.5B,Qwen3-4B,Qwen2.5-1.5B-Instruct
le_4b,qwen3,qwen2.5,Qwen3-4B,Qwen2.5-3B-Instruct,Qwen3-4B-Base,Qwen2.5-3B,Qwen3-4B,Qwen2.5-3B-Instruct
le_4b,qwen3,llama,Qwen3-4B,Llama-3.2-1B-Instruct,Qwen3-4B-Base,Llama-3.2-1B,Qwen3-4B,Llama-3.2-1B-Instruct
le_4b,qwen3,llama,Qwen3-4B,Llama-3.2-3B-Instruct,Qwen3-4B-Base,Llama-3.2-3B,Qwen3-4B,Llama-3.2-3B-Instruct
le_4b,qwen3,gemma2,Qwen3-4B,Gemma-2-2B-Instruct,Qwen3-4B-Base,Gemma-2-2B,Qwen3-4B,Gemma-2-2B-Instruct
le_4b,qwen3,gemma3,Qwen3-4B,Gemma-3-1B-Instruct,Qwen3-4B-Base,Gemma-3-1B,Qwen3-4B,Gemma-3-1B-Instruct
le_4b,qwen3,gemma3,Qwen3-4B,Gemma-3-4B-Instruct,Qwen3-4B-Base,Gemma-3-4B,Qwen3-4B,Gemma-3-4B-Instruct
le_4b,qwen3,gemma4,Qwen3-4B,Gemma-4-E2B-Instruct,Qwen3-4B-Base,Gemma-4-E2B,Qwen3-4B,Gemma-4-E2B-Instruct
le_4b,qwen3,gemma4,Qwen3-4B,Gemma-4-E4B-Instruct,Qwen3-4B-Base,Gemma-4-E4B,Qwen3-4B,Gemma-4-E4B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-4B,Qwen3.5-0.8B-Instruct,Qwen3-4B-Base,Qwen3.5-0.8B-Base,Qwen3-4B,Qwen3.5-0.8B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-4B,Qwen3.5-2B-Instruct,Qwen3-4B-Base,Qwen3.5-2B-Base,Qwen3-4B,Qwen3.5-2B-Instruct
le_4b,qwen3,qwen3.5_dense,Qwen3-4B,Qwen3.5-4B-Instruct,Qwen3-4B-Base,Qwen3.5-4B-Base,Qwen3-4B,Qwen3.5-4B-Instruct
le_4b,qwen2.5,llama,Qwen2.5-0.5B-Instruct,Llama-3.2-1B-Instruct,Qwen2.5-0.5B,Llama-3.2-1B,Qwen2.5-0.5B-Instruct,Llama-3.2-1B-Instruct
le_4b,qwen2.5,llama,Qwen2.5-0.5B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-0.5B,Llama-3.2-3B,Qwen2.5-0.5B-Instruct,Llama-3.2-3B-Instruct
le_4b,qwen2.5,gemma2,Qwen2.5-0.5B-Instruct,Gemma-2-2B-Instruct,Qwen2.5-0.5B,Gemma-2-2B,Qwen2.5-0.5B-Instruct,Gemma-2-2B-Instruct
le_4b,qwen2.5,gemma3,Qwen2.5-0.5B-Instruct,Gemma-3-1B-Instruct,Qwen2.5-0.5B,Gemma-3-1B,Qwen2.5-0.5B-Instruct,Gemma-3-1B-Instruct
le_4b,qwen2.5,gemma3,Qwen2.5-0.5B-Instruct,Gemma-3-4B-Instruct,Qwen2.5-0.5B,Gemma-3-4B,Qwen2.5-0.5B-Instruct,Gemma-3-4B-Instruct
le_4b,qwen2.5,gemma4,Qwen2.5-0.5B-Instruct,Gemma-4-E2B-Instruct,Qwen2.5-0.5B,Gemma-4-E2B,Qwen2.5-0.5B-Instruct,Gemma-4-E2B-Instruct
le_4b,qwen2.5,gemma4,Qwen2.5-0.5B-Instruct,Gemma-4-E4B-Instruct,Qwen2.5-0.5B,Gemma-4-E4B,Qwen2.5-0.5B-Instruct,Gemma-4-E4B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-0.5B-Instruct,Qwen3.5-0.8B-Instruct,Qwen2.5-0.5B,Qwen3.5-0.8B-Base,Qwen2.5-0.5B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-0.5B-Instruct,Qwen3.5-2B-Instruct,Qwen2.5-0.5B,Qwen3.5-2B-Base,Qwen2.5-0.5B-Instruct,Qwen3.5-2B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-0.5B-Instruct,Qwen3.5-4B-Instruct,Qwen2.5-0.5B,Qwen3.5-4B-Base,Qwen2.5-0.5B-Instruct,Qwen3.5-4B-Instruct
le_4b,qwen2.5,llama,Qwen2.5-1.5B-Instruct,Llama-3.2-1B-Instruct,Qwen2.5-1.5B,Llama-3.2-1B,Qwen2.5-1.5B-Instruct,Llama-3.2-1B-Instruct
le_4b,qwen2.5,llama,Qwen2.5-1.5B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B,Llama-3.2-3B,Qwen2.5-1.5B-Instruct,Llama-3.2-3B-Instruct
le_4b,qwen2.5,gemma2,Qwen2.5-1.5B-Instruct,Gemma-2-2B-Instruct,Qwen2.5-1.5B,Gemma-2-2B,Qwen2.5-1.5B-Instruct,Gemma-2-2B-Instruct
le_4b,qwen2.5,gemma3,Qwen2.5-1.5B-Instruct,Gemma-3-1B-Instruct,Qwen2.5-1.5B,Gemma-3-1B,Qwen2.5-1.5B-Instruct,Gemma-3-1B-Instruct
le_4b,qwen2.5,gemma3,Qwen2.5-1.5B-Instruct,Gemma-3-4B-Instruct,Qwen2.5-1.5B,Gemma-3-4B,Qwen2.5-1.5B-Instruct,Gemma-3-4B-Instruct
le_4b,qwen2.5,gemma4,Qwen2.5-1.5B-Instruct,Gemma-4-E2B-Instruct,Qwen2.5-1.5B,Gemma-4-E2B,Qwen2.5-1.5B-Instruct,Gemma-4-E2B-Instruct
le_4b,qwen2.5,gemma4,Qwen2.5-1.5B-Instruct,Gemma-4-E4B-Instruct,Qwen2.5-1.5B,Gemma-4-E4B,Qwen2.5-1.5B-Instruct,Gemma-4-E4B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-1.5B-Instruct,Qwen3.5-0.8B-Instruct,Qwen2.5-1.5B,Qwen3.5-0.8B-Base,Qwen2.5-1.5B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-1.5B-Instruct,Qwen3.5-2B-Instruct,Qwen2.5-1.5B,Qwen3.5-2B-Base,Qwen2.5-1.5B-Instruct,Qwen3.5-2B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-1.5B-Instruct,Qwen3.5-4B-Instruct,Qwen2.5-1.5B,Qwen3.5-4B-Base,Qwen2.5-1.5B-Instruct,Qwen3.5-4B-Instruct
le_4b,qwen2.5,llama,Qwen2.5-3B-Instruct,Llama-3.2-1B-Instruct,Qwen2.5-3B,Llama-3.2-1B,Qwen2.5-3B-Instruct,Llama-3.2-1B-Instruct
le_4b,qwen2.5,llama,Qwen2.5-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-3B,Llama-3.2-3B,Qwen2.5-3B-Instruct,Llama-3.2-3B-Instruct
le_4b,qwen2.5,gemma2,Qwen2.5-3B-Instruct,Gemma-2-2B-Instruct,Qwen2.5-3B,Gemma-2-2B,Qwen2.5-3B-Instruct,Gemma-2-2B-Instruct
le_4b,qwen2.5,gemma3,Qwen2.5-3B-Instruct,Gemma-3-1B-Instruct,Qwen2.5-3B,Gemma-3-1B,Qwen2.5-3B-Instruct,Gemma-3-1B-Instruct
le_4b,qwen2.5,gemma3,Qwen2.5-3B-Instruct,Gemma-3-4B-Instruct,Qwen2.5-3B,Gemma-3-4B,Qwen2.5-3B-Instruct,Gemma-3-4B-Instruct
le_4b,qwen2.5,gemma4,Qwen2.5-3B-Instruct,Gemma-4-E2B-Instruct,Qwen2.5-3B,Gemma-4-E2B,Qwen2.5-3B-Instruct,Gemma-4-E2B-Instruct
le_4b,qwen2.5,gemma4,Qwen2.5-3B-Instruct,Gemma-4-E4B-Instruct,Qwen2.5-3B,Gemma-4-E4B,Qwen2.5-3B-Instruct,Gemma-4-E4B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-3B-Instruct,Qwen3.5-0.8B-Instruct,Qwen2.5-3B,Qwen3.5-0.8B-Base,Qwen2.5-3B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-3B-Instruct,Qwen3.5-2B-Instruct,Qwen2.5-3B,Qwen3.5-2B-Base,Qwen2.5-3B-Instruct,Qwen3.5-2B-Instruct
le_4b,qwen2.5,qwen3.5_dense,Qwen2.5-3B-Instruct,Qwen3.5-4B-Instruct,Qwen2.5-3B,Qwen3.5-4B-Base,Qwen2.5-3B-Instruct,Qwen3.5-4B-Instruct
le_4b,llama,gemma2,Llama-3.2-1B-Instruct,Gemma-2-2B-Instruct,Llama-3.2-1B,Gemma-2-2B,Llama-3.2-1B-Instruct,Gemma-2-2B-Instruct
le_4b,llama,gemma3,Llama-3.2-1B-Instruct,Gemma-3-1B-Instruct,Llama-3.2-1B,Gemma-3-1B,Llama-3.2-1B-Instruct,Gemma-3-1B-Instruct
le_4b,llama,gemma3,Llama-3.2-1B-Instruct,Gemma-3-4B-Instruct,Llama-3.2-1B,Gemma-3-4B,Llama-3.2-1B-Instruct,Gemma-3-4B-Instruct
le_4b,llama,gemma4,Llama-3.2-1B-Instruct,Gemma-4-E2B-Instruct,Llama-3.2-1B,Gemma-4-E2B,Llama-3.2-1B-Instruct,Gemma-4-E2B-Instruct
le_4b,llama,gemma4,Llama-3.2-1B-Instruct,Gemma-4-E4B-Instruct,Llama-3.2-1B,Gemma-4-E4B,Llama-3.2-1B-Instruct,Gemma-4-E4B-Instruct
le_4b,llama,qwen3.5_dense,Llama-3.2-1B-Instruct,Qwen3.5-0.8B-Instruct,Llama-3.2-1B,Qwen3.5-0.8B-Base,Llama-3.2-1B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,llama,qwen3.5_dense,Llama-3.2-1B-Instruct,Qwen3.5-2B-Instruct,Llama-3.2-1B,Qwen3.5-2B-Base,Llama-3.2-1B-Instruct,Qwen3.5-2B-Instruct
le_4b,llama,qwen3.5_dense,Llama-3.2-1B-Instruct,Qwen3.5-4B-Instruct,Llama-3.2-1B,Qwen3.5-4B-Base,Llama-3.2-1B-Instruct,Qwen3.5-4B-Instruct
le_4b,llama,gemma2,Llama-3.2-3B-Instruct,Gemma-2-2B-Instruct,Llama-3.2-3B,Gemma-2-2B,Llama-3.2-3B-Instruct,Gemma-2-2B-Instruct
le_4b,llama,gemma3,Llama-3.2-3B-Instruct,Gemma-3-1B-Instruct,Llama-3.2-3B,Gemma-3-1B,Llama-3.2-3B-Instruct,Gemma-3-1B-Instruct
le_4b,llama,gemma3,Llama-3.2-3B-Instruct,Gemma-3-4B-Instruct,Llama-3.2-3B,Gemma-3-4B,Llama-3.2-3B-Instruct,Gemma-3-4B-Instruct
le_4b,llama,gemma4,Llama-3.2-3B-Instruct,Gemma-4-E2B-Instruct,Llama-3.2-3B,Gemma-4-E2B,Llama-3.2-3B-Instruct,Gemma-4-E2B-Instruct
le_4b,llama,gemma4,Llama-3.2-3B-Instruct,Gemma-4-E4B-Instruct,Llama-3.2-3B,Gemma-4-E4B,Llama-3.2-3B-Instruct,Gemma-4-E4B-Instruct
le_4b,llama,qwen3.5_dense,Llama-3.2-3B-Instruct,Qwen3.5-0.8B-Instruct,Llama-3.2-3B,Qwen3.5-0.8B-Base,Llama-3.2-3B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,llama,qwen3.5_dense,Llama-3.2-3B-Instruct,Qwen3.5-2B-Instruct,Llama-3.2-3B,Qwen3.5-2B-Base,Llama-3.2-3B-Instruct,Qwen3.5-2B-Instruct
le_4b,llama,qwen3.5_dense,Llama-3.2-3B-Instruct,Qwen3.5-4B-Instruct,Llama-3.2-3B,Qwen3.5-4B-Base,Llama-3.2-3B-Instruct,Qwen3.5-4B-Instruct
le_4b,gemma2,gemma3,Gemma-2-2B-Instruct,Gemma-3-1B-Instruct,Gemma-2-2B,Gemma-3-1B,Gemma-2-2B-Instruct,Gemma-3-1B-Instruct
le_4b,gemma2,gemma3,Gemma-2-2B-Instruct,Gemma-3-4B-Instruct,Gemma-2-2B,Gemma-3-4B,Gemma-2-2B-Instruct,Gemma-3-4B-Instruct
le_4b,gemma2,gemma4,Gemma-2-2B-Instruct,Gemma-4-E2B-Instruct,Gemma-2-2B,Gemma-4-E2B,Gemma-2-2B-Instruct,Gemma-4-E2B-Instruct
le_4b,gemma2,gemma4,Gemma-2-2B-Instruct,Gemma-4-E4B-Instruct,Gemma-2-2B,Gemma-4-E4B,Gemma-2-2B-Instruct,Gemma-4-E4B-Instruct
le_4b,gemma2,qwen3.5_dense,Gemma-2-2B-Instruct,Qwen3.5-0.8B-Instruct,Gemma-2-2B,Qwen3.5-0.8B-Base,Gemma-2-2B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,gemma2,qwen3.5_dense,Gemma-2-2B-Instruct,Qwen3.5-2B-Instruct,Gemma-2-2B,Qwen3.5-2B-Base,Gemma-2-2B-Instruct,Qwen3.5-2B-Instruct
le_4b,gemma2,qwen3.5_dense,Gemma-2-2B-Instruct,Qwen3.5-4B-Instruct,Gemma-2-2B,Qwen3.5-4B-Base,Gemma-2-2B-Instruct,Qwen3.5-4B-Instruct
le_4b,gemma3,gemma4,Gemma-3-1B-Instruct,Gemma-4-E2B-Instruct,Gemma-3-1B,Gemma-4-E2B,Gemma-3-1B-Instruct,Gemma-4-E2B-Instruct
le_4b,gemma3,gemma4,Gemma-3-1B-Instruct,Gemma-4-E4B-Instruct,Gemma-3-1B,Gemma-4-E4B,Gemma-3-1B-Instruct,Gemma-4-E4B-Instruct
le_4b,gemma3,qwen3.5_dense,Gemma-3-1B-Instruct,Qwen3.5-0.8B-Instruct,Gemma-3-1B,Qwen3.5-0.8B-Base,Gemma-3-1B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,gemma3,qwen3.5_dense,Gemma-3-1B-Instruct,Qwen3.5-2B-Instruct,Gemma-3-1B,Qwen3.5-2B-Base,Gemma-3-1B-Instruct,Qwen3.5-2B-Instruct
le_4b,gemma3,qwen3.5_dense,Gemma-3-1B-Instruct,Qwen3.5-4B-Instruct,Gemma-3-1B,Qwen3.5-4B-Base,Gemma-3-1B-Instruct,Qwen3.5-4B-Instruct
le_4b,gemma3,gemma4,Gemma-3-4B-Instruct,Gemma-4-E2B-Instruct,Gemma-3-4B,Gemma-4-E2B,Gemma-3-4B-Instruct,Gemma-4-E2B-Instruct
le_4b,gemma3,gemma4,Gemma-3-4B-Instruct,Gemma-4-E4B-Instruct,Gemma-3-4B,Gemma-4-E4B,Gemma-3-4B-Instruct,Gemma-4-E4B-Instruct
le_4b,gemma3,qwen3.5_dense,Gemma-3-4B-Instruct,Qwen3.5-0.8B-Instruct,Gemma-3-4B,Qwen3.5-0.8B-Base,Gemma-3-4B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,gemma3,qwen3.5_dense,Gemma-3-4B-Instruct,Qwen3.5-2B-Instruct,Gemma-3-4B,Qwen3.5-2B-Base,Gemma-3-4B-Instruct,Qwen3.5-2B-Instruct
le_4b,gemma3,qwen3.5_dense,Gemma-3-4B-Instruct,Qwen3.5-4B-Instruct,Gemma-3-4B,Qwen3.5-4B-Base,Gemma-3-4B-Instruct,Qwen3.5-4B-Instruct
le_4b,gemma4,qwen3.5_dense,Gemma-4-E2B-Instruct,Qwen3.5-0.8B-Instruct,Gemma-4-E2B,Qwen3.5-0.8B-Base,Gemma-4-E2B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,gemma4,qwen3.5_dense,Gemma-4-E2B-Instruct,Qwen3.5-2B-Instruct,Gemma-4-E2B,Qwen3.5-2B-Base,Gemma-4-E2B-Instruct,Qwen3.5-2B-Instruct
le_4b,gemma4,qwen3.5_dense,Gemma-4-E2B-Instruct,Qwen3.5-4B-Instruct,Gemma-4-E2B,Qwen3.5-4B-Base,Gemma-4-E2B-Instruct,Qwen3.5-4B-Instruct
le_4b,gemma4,qwen3.5_dense,Gemma-4-E4B-Instruct,Qwen3.5-0.8B-Instruct,Gemma-4-E4B,Qwen3.5-0.8B-Base,Gemma-4-E4B-Instruct,Qwen3.5-0.8B-Instruct
le_4b,gemma4,qwen3.5_dense,Gemma-4-E4B-Instruct,Qwen3.5-2B-Instruct,Gemma-4-E4B,Qwen3.5-2B-Base,Gemma-4-E4B-Instruct,Qwen3.5-2B-Instruct
le_4b,gemma4,qwen3.5_dense,Gemma-4-E4B-Instruct,Qwen3.5-4B-Instruct,Gemma-4-E4B,Qwen3.5-4B-Base,Gemma-4-E4B-Instruct,Qwen3.5-4B-Instruct
gt_4b_lt_27b,qwen3,qwen2.5,Qwen3-8B,Qwen2.5-7B-Instruct,Qwen3-8B-Base,Qwen2.5-7B,Qwen3-8B,Qwen2.5-7B-Instruct
gt_4b_lt_27b,qwen3,qwen2.5,Qwen3-8B,Qwen2.5-14B-Instruct,Qwen3-8B-Base,Qwen2.5-14B,Qwen3-8B,Qwen2.5-14B-Instruct
gt_4b_lt_27b,qwen3,llama,Qwen3-8B,Llama-3.1-8B-Instruct,Qwen3-8B-Base,Llama-3.1-8B,Qwen3-8B,Llama-3.1-8B-Instruct
gt_4b_lt_27b,qwen3,gemma2,Qwen3-8B,Gemma-2-9B-Instruct,Qwen3-8B-Base,Gemma-2-9B,Qwen3-8B,Gemma-2-9B-Instruct
gt_4b_lt_27b,qwen3,gemma3,Qwen3-8B,Gemma-3-12B-Instruct,Qwen3-8B-Base,Gemma-3-12B,Qwen3-8B,Gemma-3-12B-Instruct
gt_4b_lt_27b,qwen3,gemma4,Qwen3-8B,Gemma-4-26B-A4B-Instruct,Qwen3-8B-Base,Gemma-4-26B-A4B,Qwen3-8B,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,qwen3,qwen3.5_dense,Qwen3-8B,Qwen3.5-9B-Instruct,Qwen3-8B-Base,Qwen3.5-9B-Base,Qwen3-8B,Qwen3.5-9B-Instruct
gt_4b_lt_27b,qwen3,qwen2.5,Qwen3-14B,Qwen2.5-7B-Instruct,Qwen3-14B-Base,Qwen2.5-7B,Qwen3-14B,Qwen2.5-7B-Instruct
gt_4b_lt_27b,qwen3,qwen2.5,Qwen3-14B,Qwen2.5-14B-Instruct,Qwen3-14B-Base,Qwen2.5-14B,Qwen3-14B,Qwen2.5-14B-Instruct
gt_4b_lt_27b,qwen3,llama,Qwen3-14B,Llama-3.1-8B-Instruct,Qwen3-14B-Base,Llama-3.1-8B,Qwen3-14B,Llama-3.1-8B-Instruct
gt_4b_lt_27b,qwen3,gemma2,Qwen3-14B,Gemma-2-9B-Instruct,Qwen3-14B-Base,Gemma-2-9B,Qwen3-14B,Gemma-2-9B-Instruct
gt_4b_lt_27b,qwen3,gemma3,Qwen3-14B,Gemma-3-12B-Instruct,Qwen3-14B-Base,Gemma-3-12B,Qwen3-14B,Gemma-3-12B-Instruct
gt_4b_lt_27b,qwen3,gemma4,Qwen3-14B,Gemma-4-26B-A4B-Instruct,Qwen3-14B-Base,Gemma-4-26B-A4B,Qwen3-14B,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,qwen3,qwen3.5_dense,Qwen3-14B,Qwen3.5-9B-Instruct,Qwen3-14B-Base,Qwen3.5-9B-Base,Qwen3-14B,Qwen3.5-9B-Instruct
gt_4b_lt_27b,qwen2.5,llama,Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B,Llama-3.1-8B,Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct
gt_4b_lt_27b,qwen2.5,gemma2,Qwen2.5-7B-Instruct,Gemma-2-9B-Instruct,Qwen2.5-7B,Gemma-2-9B,Qwen2.5-7B-Instruct,Gemma-2-9B-Instruct
gt_4b_lt_27b,qwen2.5,gemma3,Qwen2.5-7B-Instruct,Gemma-3-12B-Instruct,Qwen2.5-7B,Gemma-3-12B,Qwen2.5-7B-Instruct,Gemma-3-12B-Instruct
gt_4b_lt_27b,qwen2.5,gemma4,Qwen2.5-7B-Instruct,Gemma-4-26B-A4B-Instruct,Qwen2.5-7B,Gemma-4-26B-A4B,Qwen2.5-7B-Instruct,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,qwen2.5,qwen3.5_dense,Qwen2.5-7B-Instruct,Qwen3.5-9B-Instruct,Qwen2.5-7B,Qwen3.5-9B-Base,Qwen2.5-7B-Instruct,Qwen3.5-9B-Instruct
gt_4b_lt_27b,qwen2.5,llama,Qwen2.5-14B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-14B,Llama-3.1-8B,Qwen2.5-14B-Instruct,Llama-3.1-8B-Instruct
gt_4b_lt_27b,qwen2.5,gemma2,Qwen2.5-14B-Instruct,Gemma-2-9B-Instruct,Qwen2.5-14B,Gemma-2-9B,Qwen2.5-14B-Instruct,Gemma-2-9B-Instruct
gt_4b_lt_27b,qwen2.5,gemma3,Qwen2.5-14B-Instruct,Gemma-3-12B-Instruct,Qwen2.5-14B,Gemma-3-12B,Qwen2.5-14B-Instruct,Gemma-3-12B-Instruct
gt_4b_lt_27b,qwen2.5,gemma4,Qwen2.5-14B-Instruct,Gemma-4-26B-A4B-Instruct,Qwen2.5-14B,Gemma-4-26B-A4B,Qwen2.5-14B-Instruct,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,qwen2.5,qwen3.5_dense,Qwen2.5-14B-Instruct,Qwen3.5-9B-Instruct,Qwen2.5-14B,Qwen3.5-9B-Base,Qwen2.5-14B-Instruct,Qwen3.5-9B-Instruct
gt_4b_lt_27b,llama,gemma2,Llama-3.1-8B-Instruct,Gemma-2-9B-Instruct,Llama-3.1-8B,Gemma-2-9B,Llama-3.1-8B-Instruct,Gemma-2-9B-Instruct
gt_4b_lt_27b,llama,gemma3,Llama-3.1-8B-Instruct,Gemma-3-12B-Instruct,Llama-3.1-8B,Gemma-3-12B,Llama-3.1-8B-Instruct,Gemma-3-12B-Instruct
gt_4b_lt_27b,llama,gemma4,Llama-3.1-8B-Instruct,Gemma-4-26B-A4B-Instruct,Llama-3.1-8B,Gemma-4-26B-A4B,Llama-3.1-8B-Instruct,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,llama,qwen3.5_dense,Llama-3.1-8B-Instruct,Qwen3.5-9B-Instruct,Llama-3.1-8B,Qwen3.5-9B-Base,Llama-3.1-8B-Instruct,Qwen3.5-9B-Instruct
